clubNumber	clubName
5725	Port Pirie Contract Bridge Club
3356	Frankston Bridge Club
3358	Rosebud Bridge Centre
3360	Geelong Bridge Club
3361	Knox Bridge Club
3372	Alphington Bridge Centre
3375	Kattery Bridge Club
3376	KLTC Bridge Club
3379	Lakes Entrance Bridge Club
3403	Maccabi Bridge Club Inc
9932	Canberra In Bloom Bridge Festival
6773	Glen Forrest Bridge Club
3405	Macedon Ranges Bridge Club
3406	MCC Bridge Club
3408	Melbourne Bridge Club
3410	Mount Martha Bridge Club
3415	Mornington Bridge Group
3425	Northern Bridge Club
3430	Ocean Grove Bridge Club
3433	Wangaratta Bridge Club Inc
3434	Patterson Lakes Bridge Club
3435	Paynesville Bridge Club
3437	Peninsula Bridge Club - Vic
3440	Phillip Island Bridge Club Inc
3442	RACV Bridge Club
3444	The Artificial Club
3451	Rye Beach Bridge Club
3455	Sale Bridge Club
3460	Shepparton Bridge Club
3463	OZ Bridge Club
3465	South Gippsland Bridge Club
3470	Sunbury Bridge Club
3473	Tricks And Trumps
3475	Theodor Herzl Social Club Bridge Section
3476	Torquay Bridge Club
3477	Traralgon Bridge Club
3478	Warrnambool Bridge Club
3479	Mildura U3A Bridge Club
3480	Waverley Bridge Club Inc
3481	Upwey Bridge Club
3482	Whittlesea Bridge Club Inc
3483	Williamstown Bridge Club Incorporated
3486	Wodonga Bridge Club
3489	Werribee Bridge Club
3496	Yarra Valley Bridge Club
3497	Yarrawonga Bridge Club
3498	Youth Bridge Club Vic
4501	Queensland Bridge Association
4502	Queensland Bridge Association Inc
4503	Arana Contract Bridge Club Inc
4505	Hervey Bay City Bridge Club Inc
4508	Broadwater Bridge Club Inc
4510	Redland Bridge Club Inc
4513	Capricorn Contract Bridge Club Inc.
4515	Caboolture Bridge Club
4518	joanbuttsbridge centre
4522	Cleveland Bay Bridge Club
4523	Coolum Bridge Club
4528	Brisbane Bridge Centre
4530	Darling Downs Bridge Club
4535	Eastern Suburbs Bridge Club Inc
4540	Helensvale Bridge Club Inc.
4545	Northern Suburbs Bridge Club Inc
4555	Queensland Contract Bridge Club
4560	Redcliffe Bridge Club Inc
4566	Sunnybank Bridge Club
4572	Toowong Bridge Club Inc
4584	Bowen Bridge Club
4587	Bundaberg Bridge Club Inc
4590	Cairns Bridge Club
4678	Malanda Bridge Club
3471	Nagambie Bridge Club
4537	Finesse-QLD Bridge Club
4592	Caloundra Contract Bridge Club Inc
4598	Dalby Bridge Club Inc
4620	Gold Coast Bridge Club
4622	Goondiwindi Contract Bridge Club
4625	Gympie Contract Bridge Club Inc
4630	Ipswich Contract Bridge Club
4632	Kenmore Bridge Club
4633	Kingaroy Contract Bridge Club
4637	Lockyer Bridge Club
4640	Mackay Contract Bridge Club Inc
4645	Maryborough Contract Bridge Club
4648	Moranbah Contract Bridge Club
